TIME,TEMP_OB,TEMP_LOZ,REL_OB,REL_LOZ
Sun Apr  3 01:52:52 2022,18.4,14.7,False,True
Sun Apr  3 01:53:22 2022,18.4,14.7,False,True
Sun Apr  3 01:53:52 2022,18.4,14.6,False,True
Sun Apr  3 01:54:22 2022,18.4,14.6,False,True
Sun Apr  3 01:54:52 2022,18.5,14.5,False,True
Sun Apr  3 01:55:22 2022,18.5,14.5,False,True
Sun Apr  3 01:55:52 2022,18.5,14.4,True,True
Sun Apr  3 01:56:22 2022,18.5,14.4,True,True
Sun Apr  3 01:56:52 2022,18.5,14.3,True,True
Sun Apr  3 01:57:22 2022,18.5,14.3,True,True
Sun Apr  3 01:57:52 2022,18.5,14.2,True,True
Sun Apr  3 01:58:22 2022,18.5,14.2,True,True
Sun Apr  3 01:58:52 2022,18.5,14.1,True,True
Sun Apr  3 01:59:22 2022,18.5,14.1,True,True
Sun Apr  3 01:59:52 2022,18.6,14.1,True,False
Sun Apr  3 02:00:22 2022,18.6,14.1,True,False
Sun Apr  3 02:00:52 2022,18.6,14.1,True,False
Sun Apr  3 02:01:22 2022,18.6,14.1,True,False
Sun Apr  3 02:01:52 2022,18.7,14.2,True,False
Sun Apr  3 02:02:22 2022,18.7,14.2,True,False
Sun Apr  3 02:02:52 2022,18.7,14.2,True,False
Sun Apr  3 02:03:22 2022,18.7,14.2,True,False
Sun Apr  3 02:03:52 2022,18.6,14.3,True,False
Sun Apr  3 02:04:22 2022,18.6,14.3,True,False
Sun Apr  3 02:04:52 2022,18.6,14.4,True,False
Sun Apr  3 02:05:22 2022,18.6,14.4,True,False
Sun Apr  3 02:05:52 2022,18.6,14.5,True,False
Sun Apr  3 02:06:22 2022,18.6,14.5,True,False
Sun Apr  3 02:06:52 2022,18.5,14.6,True,False
Sun Apr  3 02:07:22 2022,18.5,14.6,True,False
Sun Apr  3 02:07:52 2022,18.4,14.7,True,False
Sun Apr  3 02:08:22 2022,18.4,14.8,True,False
Sun Apr  3 02:08:52 2022,18.3,14.8,True,False
Sun Apr  3 02:09:22 2022,18.3,14.9,True,False
Sun Apr  3 02:09:52 2022,18.2,15.0,True,False
Sun Apr  3 02:10:22 2022,18.2,15.0,True,False
Sun Apr  3 02:10:52 2022,18.1,15.1,True,False
Sun Apr  3 02:11:22 2022,18.1,15.2,True,False
Sun Apr  3 02:11:52 2022,18.0,15.2,True,False
Sun Apr  3 02:12:22 2022,18.0,15.3,True,False
Sun Apr  3 02:12:52 2022,17.9,15.4,True,False
Sun Apr  3 02:13:22 2022,17.9,15.4,True,False
Sun Apr  3 02:13:52 2022,17.8,15.5,True,False
Sun Apr  3 02:14:22 2022,17.7,15.5,True,False
Sun Apr  3 02:14:52 2022,17.7,15.6,False,False
Sun Apr  3 02:15:22 2022,17.6,15.7,False,False
Sun Apr  3 02:15:52 2022,17.6,15.7,False,False
Sun Apr  3 02:16:22 2022,17.6,15.8,False,False
Sun Apr  3 02:16:52 2022,17.5,15.8,False,False
Sun Apr  3 02:17:22 2022,17.4,15.9,False,True
Sun Apr  3 02:17:52 2022,17.3,15.9,False,True
Sun Apr  3 02:18:22 2022,17.3,16.0,False,True
Sun Apr  3 02:18:52 2022,17.2,16.0,False,True
Sun Apr  3 02:19:22 2022,17.2,16.0,False,True
Sun Apr  3 02:19:52 2022,17.2,16.0,False,True
Sun Apr  3 02:20:22 2022,17.1,16.0,False,True
Sun Apr  3 02:20:52 2022,17.1,16.0,False,True
Sun Apr  3 02:21:22 2022,17.0,16.0,False,True
Sun Apr  3 02:21:52 2022,17.0,16.0,False,True
Sun Apr  3 02:22:22 2022,17.0,15.9,False,True
Sun Apr  3 02:22:52 2022,16.9,15.9,False,True
Sun Apr  3 02:23:22 2022,16.9,15.9,False,True
Sun Apr  3 02:23:52 2022,16.9,15.8,False,True
Sun Apr  3 02:24:22 2022,16.9,15.8,False,True
Sun Apr  3 02:24:52 2022,16.9,15.7,False,True
Sun Apr  3 02:25:22 2022,16.9,15.7,False,True
Sun Apr  3 02:25:52 2022,17.0,15.6,False,True
Sun Apr  3 02:26:22 2022,16.9,15.6,False,True
Sun Apr  3 02:26:52 2022,16.9,15.5,False,True
Sun Apr  3 02:27:22 2022,17.0,15.5,False,True
Sun Apr  3 02:27:52 2022,17.0,15.4,False,True
Sun Apr  3 02:28:22 2022,17.0,15.4,False,True
